TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 80461739.113727 80461740.734247 80461742.35476701 0 0.0 165.1299638543135 0.0 0.0 0.0
2 80461742.35476701 80461743.97528702 80461745.59580702 0 0.0 165.1299638543135 0.0 0.0 0.0
3 80461745.595807 80461747.21632701 80461748.836847 0 0.0 165.1299638543135 0.0 0.0 0.0
4 80461748.836847 80461750.457367 80461752.07788701 0 0.0 165.1299638543135 0.0 0.0 0.0
5 80461752.077887 80461753.698407 80461755.318927 0 0.0 165.1299638543135 0.0 0.0 0.0
6 80461755.318927 80461756.93944702 80461758.55996701 0 0.0 165.1299638543135 0.0 0.0 0.0
7 80461758.559967 80461760.180487 80461761.801007 0 0.0 165.1299638543135 0.0 0.0 0.0
8 80461761.801007 80461763.421527 80461765.04204701 0 0.0 165.1299638543135 0.0 0.0 0.0
9 80461765.04204701 80461766.66256702 80461768.28308702 0 0.0 165.1299638543135 0.0 0.0 0.0
10 80461768.283087 80461769.90360701 80461771.524127 0 0.0 165.1299638543135 0.0 0.0 0.0
11 80461771.524127 80461773.144647 80461774.76516701 0 0.0 165.1299638543135 0.0 0.0 0.0
12 80461774.765167 80461776.385687 80461778.006207 0 0.0 165.1299638543135 0.0 0.0 0.0
13 80461778.006207 80461779.62672701 80461781.24724701 0 0.0 165.1299638543135 0.0 0.0 0.0
14 80461781.24724701 80461782.867767 80461784.48828702 0 0.0 165.1299638543135 0.0 0.0 0.0
15 80461784.488287 80461786.108807 80461787.72932701 0 0.0 165.1299638543135 0.0 0.0 0.0
16 80461787.72932701 80461789.34984702 80461790.97036701 0 0.0 165.1299638543135 0.0 0.0 0.0
17 80461790.970367 80461792.59088701 80461794.211407 0 0.0 165.1299638543135 0.0 0.0 0.0
18 80461794.211407 80461795.831927 80461797.45244701 0 0.0 165.1299638543135 0.0 0.0 0.0
19 80461797.452447 80461799.072967 80461800.693487 0 0.0 165.1299638543135 0.0 0.0 0.0
20 80461800.693487 80461802.31400701 80461803.93452701 0 0.0 165.1299638543135 0.0 0.0 0.0
21 80461803.93452701 80461805.555047 80461807.17556702 0 0.0 165.1299638543135 0.0 0.0 0.0
22 80461807.175567 80461808.796087 80461810.416607 0 0.0 165.1299638543135 0.0 0.0 0.0
23 80461810.416607 80461812.03712702 80461813.65764701 0 0.0 165.1299638543135 0.0 0.0 0.0
24 80461813.657647 80461815.27816701 80461816.898687 0 0.0 165.1299638543135 0.0 0.0 0.0
25 80461816.898687 80461818.519207 80461820.13972701 0 0.0 165.1299638543135 0.0 0.0 0.0
26 80461820.139727 80461821.76024699 80461823.380767 0 0.0 165.1299638543135 0.0 0.0 0.0
27 80461823.380767 80461825.00128701 80461826.62180701 0 0.0 165.1299638543135 0.0 0.0 0.0
28 80461826.62180701 80461828.242327 80461829.86284702 0 0.0 165.1299638543135 0.0 0.0 0.0
29 80461829.862847 80461831.483367 80461833.103887 0 0.0 165.1299638543135 0.0 0.0 0.0
30 80461833.103887 80461834.72440702 80461836.34492701 0 0.0 165.1299638543135 0.0 0.0 0.0
31 80461836.344927 80461837.96544701 80461839.585967 0 0.0 165.1299638543135 0.0 0.0 0.0
32 80461839.585967 80461841.206487 80461842.82700701 0 0.0 165.1299638543135 0.0 0.0 0.0
33 80461842.82700701 80461844.44752702 80461846.06804702 0 0.0 165.1299638543135 0.0 0.0 0.0
34 80461846.068047 80461847.68856701 80461849.30908701 0 0.0 165.1299638543135 0.0 0.0 0.0
35 80461849.30908701 80461850.929607 80461852.55012701 0 0.0 165.1299638543135 0.0 0.0 0.0
36 80461852.550127 80461854.170647 80461855.791167 0 0.0 165.1299638543135 0.0 0.0 0.0
37 80461855.791167 80461857.41168702 80461859.03220701 0 0.0 165.1299638543135 0.0 0.0 0.0
38 80461859.032207 80461860.65272701 80461862.273247 0 0.0 165.1299638543135 0.0 0.0 0.0
39 80461862.273247 80461863.893767 80461865.51428701 0 0.0 165.1299638543135 0.0 0.0 0.0
40 80461865.51428701 80461867.13480702 80461868.75532702 0 0.0 165.1299638543135 0.0 0.0 0.0
41 80461868.755327 80461870.37584701 80461871.99636701 0 0.0 165.1299638543135 0.0 0.0 0.0
42 80461871.99636701 80461873.616887 80461875.23740701 0 0.0 165.1299638543135 0.0 0.0 0.0
43 80461875.237407 80461876.857927 80461878.478447 0 0.0 165.1299638543135 0.0 0.0 0.0
44 80461878.478447 80461880.09896702 80461881.71948701 0 0.0 165.1299638543135 0.0 0.0 0.0
45 80461881.719487 80461883.340007 80461884.960527 0 0.0 165.1299638543135 0.0 0.0 0.0
46 80461884.960527 80461886.581047 80461888.20156701 0 0.0 165.1299638543135 0.0 0.0 0.0
47 80461888.20156701 80461889.82208702 80461891.44260702 0 0.0 165.1299638543135 0.0 0.0 0.0
48 80461891.442607 80461893.06312701 80461894.683647 0 0.0 165.1299638543135 0.0 0.0 0.0
49 80461894.683647 80461896.304167 80461897.92468701 0 0.0 165.1299638543135 0.0 0.0 0.0
50 80461897.924687 80461899.545207 80461901.165727 0 0.0 165.1299638543135 0.0 0.0 0.0
51 80461901.165727 80461902.78624701 80461904.40676701 0 0.0 165.1299638543135 0.0 0.0 0.0
52 80461904.40676701 80461906.027287 80461907.64780702 0 0.0 165.1299638543135 0.0 0.0 0.0
53 80461907.647807 80461909.268327 80461910.88884701 0 0.0 165.1299638543135 0.0 0.0 0.0
54 80461910.88884701 80461912.50936702 80461914.12988701 0 0.0 165.1299638543135 0.0 0.0 0.0
55 80461914.129887 80461915.75040701 80461917.370927 0 0.0 165.1299638543135 0.0 0.0 0.0
56 80461917.370927 80461918.991447 80461920.61196701 0 0.0 165.1299638543135 0.0 0.0 0.0
57 80461920.611967 80461922.232487 80461923.853007 0 0.0 165.1299638543135 0.0 0.0 0.0
58 80461923.853007 80461925.47352701 80461927.09404701 0 0.0 165.1299638543135 0.0 0.0 0.0
59 80461927.09404701 80461928.714567 80461930.33508702 0 0.0 165.1299638543135 0.0 0.0 0.0
60 80461930.335087 80461931.955607 80461933.57612701 0 0.0 165.1299638543135 0.0 0.0 0.0
61 80461933.57612701 80461935.19664702 80461936.81716701 0 0.0 165.1299638543135 0.0 0.0 0.0
62 80461936.817167 80461938.43768701 80461940.058207 0 0.0 165.1299638543135 0.0 0.0 0.0
63 80461940.058207 80461941.678727 80461943.29924701 0 0.0 165.1299638543135 0.0 0.0 0.0
64 80461943.299247 80461944.91976699 80461946.540287 0 0.0 165.1299638543135 0.0 0.0 0.0
65 80461946.540287 80461948.16080701 80461949.78132701 0 0.0 165.1299638543135 0.0 0.0 0.0
66 80461949.78132701 80461951.401847 80461953.02236702 0 0.0 165.1299638543135 0.0 0.0 0.0
67 80461953.022367 80461954.642887 80461956.263407 0 0.0 165.1299638543135 0.0 0.0 0.0
68 80461956.263407 80461957.88392702 80461959.50444701 0 0.0 165.1299638543135 0.0 0.0 0.0
69 80461959.504447 80461961.12496701 80461962.745487 0 0.0 165.1299638543135 0.0 0.0 0.0
70 80461962.745487 80461964.366007 80461965.98652701 0 0.0 165.1299638543135 0.0 0.0 0.0
71 80461965.986527 80461967.60704699 80461969.227567 0 0.0 165.1299638543135 0.0 0.0 0.0
72 80461969.227567 80461970.84808701 80461972.46860701 0 0.0 165.1299638543135 0.0 0.0 0.0
73 80461972.46860701 80461974.089127 80461975.70964701 0 0.0 165.1299638543135 0.0 0.0 0.0
74 80461975.709647 80461977.330167 80461978.950687 0 0.0 165.1299638543135 0.0 0.0 0.0
75 80461978.950687 80461980.57120702 80461982.19172701 0 0.0 165.1299638543135 0.0 0.0 0.0
76 80461982.191727 80461983.81224701 80461985.432767 0 0.0 165.1299638543135 0.0 0.0 0.0
77 80461985.432767 80461987.053287 80461988.67380701 0 0.0 165.1299638543135 0.0 0.0 0.0
78 80461988.67380701 80461990.29432702 80461991.91484702 0 0.0 165.1299638543135 0.0 0.0 0.0
79 80461991.914847 80461993.53536701 80461995.15588701 0 0.0 165.1299638543135 0.0 0.0 0.0
80 80461995.15588701 80461996.776407 80461998.39692701 0 0.0 165.1299638543135 0.0 0.0 0.0
81 80461998.396927 80462000.017447 80462001.637967 0 0.0 165.1299638543135 0.0 0.0 0.0
82 80462001.637967 80462003.25848702 80462004.87900701 0 0.0 165.1299638543135 0.0 0.0 0.0
83 80462004.879007 80462006.499527 80462008.120047 0 0.0 165.1299638543135 0.0 0.0 0.0
84 80462008.120047 80462009.740567 80462011.36108701 0 0.0 165.1299638543135 0.0 0.0 0.0
85 80462011.36108701 80462012.98160702 80462014.60212702 0 0.0 165.1299638543135 0.0 0.0 0.0
86 80462014.602127 80462016.22264701 80462017.843167 0 0.0 165.1299638543135 0.0 0.0 0.0
87 80462017.843167 80462019.463687 80462021.08420701 0 0.0 165.1299638543135 0.0 0.0 0.0
88 80462021.084207 80462022.704727 80462024.325247 0 0.0 165.1299638543135 0.0 0.0 0.0
89 80462024.325247 80462025.94576702 80462027.56628701 0 0.0 165.1299638543135 0.0 0.0 0.0
90 80462027.566287 80462029.186807 80462030.807327 0 0.0 165.1299638543135 0.0 0.0 0.0
91 80462030.807327 80462032.427847 80462034.04836701 0 0.0 165.1299638543135 0.0 0.0 0.0
92 80462034.04836701 80462035.66888702 80462037.28940701 0 0.0 165.1299638543135 0.0 0.0 0.0
93 80462037.289407 80462038.90992701 80462040.530447 0 0.0 165.1299638543135 0.0 0.0 0.0
94 80462040.530447 80462042.150967 80462043.77148701 0 0.0 165.1299638543135 0.0 0.0 0.0
95 80462043.771487 80462045.392007 80462047.012527 0 0.0 165.1299638543135 0.0 0.0 0.0
