TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 235980352.87032 235980354.49084 235980356.11135998 0 0.0 122.7184630308513 0.0 0.0 0.0
2 235980356.11135998 235980357.73187998 235980359.35239998 0 0.0 122.7184630308513 0.0 0.0 0.0
3 235980359.3524 235980360.97292 235980362.59344 0 0.0 122.7184630308513 0.0 0.0 0.0
4 235980362.59344 235980364.21396 235980365.83448 0 0.0 122.7184630308513 0.0 0.0 0.0
5 235980365.83448 235980367.45499998 235980369.07551998 0 0.0 122.7184630308513 0.0 0.0 0.0
6 235980369.07551998 235980370.69603997 235980372.31655997 0 0.0 122.7184630308513 0.0 0.0 0.0
7 235980372.31656 235980373.93708 235980375.5576 0 0.0 122.7184630308513 0.0 0.0 0.0
8 235980375.5576 235980377.17812 235980378.79863998 0 0.0 122.7184630308513 0.0 0.0 0.0
9 235980378.79863998 235980380.41915998 235980382.03967997 0 0.0 122.7184630308513 0.0 0.0 0.0
10 235980382.03968 235980383.6602 235980385.28072 0 0.0 122.7184630308513 0.0 0.0 0.0
11 235980385.28072 235980386.90124 235980388.52176 0 0.0 122.7184630308513 0.0 0.0 0.0
12 235980388.52176 235980390.14227998 235980391.76279998 0 0.0 122.7184630308513 0.0 0.0 0.0
13 235980391.76279998 235980393.38331997 235980395.00383997 0 0.0 122.7184630308513 0.0 0.0 0.0
14 235980395.00384 235980396.62436 235980398.24488 0 0.0 122.7184630308513 0.0 0.0 0.0
15 235980398.24488 235980399.8654 235980401.48591998 0 0.0 122.7184630308513 0.0 0.0 0.0
16 235980401.48591998 235980403.10643998 235980404.72695997 0 0.0 122.7184630308513 0.0 0.0 0.0
17 235980404.72696 235980406.34748 235980407.968 0 0.0 122.7184630308513 0.0 0.0 0.0
18 235980407.968 235980409.58852 235980411.20904 0 0.0 122.7184630308513 0.0 0.0 0.0
19 235980411.20904 235980412.82955998 235980414.45007998 0 0.0 122.7184630308513 0.0 0.0 0.0
20 235980414.45007998 235980416.07059997 235980417.69111997 0 0.0 122.7184630308513 0.0 0.0 0.0
21 235980417.69112 235980419.31164 235980420.93216 0 0.0 122.7184630308513 0.0 0.0 0.0
22 235980420.93216 235980422.55268 235980424.17319998 0 0.0 122.7184630308513 0.0 0.0 0.0
23 235980424.17319998 235980425.79371998 235980427.41423997 0 0.0 122.7184630308513 0.0 0.0 0.0
24 235980427.41424 235980429.03476 235980430.65528 0 0.0 122.7184630308513 0.0 0.0 0.0
25 235980430.65528 235980432.2758 235980433.89632 0 0.0 122.7184630308513 0.0 0.0 0.0
26 235980433.89632 235980435.51683998 235980437.13735998 0 0.0 122.7184630308513 0.0 0.0 0.0
27 235980437.13736 235980438.75788 235980440.3784 0 0.0 122.7184630308513 0.0 0.0 0.0
28 235980440.3784 235980441.99892 235980443.61944 0 0.0 122.7184630308513 0.0 0.0 0.0
29 235980443.61944 235980445.23995999 235980446.86047998 0 0.0 122.7184630308513 0.0 0.0 0.0
30 235980446.86047998 235980448.48099998 235980450.10151997 0 0.0 122.7184630308513 0.0 0.0 0.0
31 235980450.10152 235980451.72204 235980453.34256 0 0.0 122.7184630308513 0.0 0.0 0.0
32 235980453.34256 235980454.96308 235980456.58359998 0 0.0 122.7184630308513 0.0 0.0 0.0
33 235980456.58359998 235980458.20411998 235980459.82463998 0 0.0 122.7184630308513 0.0 0.0 0.0
34 235980459.82464 235980461.44516 235980463.06568 0 0.0 122.7184630308513 0.0 0.0 0.0
35 235980463.06568 235980464.6862 235980466.30672 0 0.0 122.7184630308513 0.0 0.0 0.0
36 235980466.30672 235980467.92723998 235980469.54775998 0 0.0 122.7184630308513 0.0 0.0 0.0
37 235980469.54775998 235980471.16827998 235980472.78879997 0 0.0 122.7184630308513 0.0 0.0 0.0
38 235980472.7888 235980474.40932 235980476.02984 0 0.0 122.7184630308513 0.0 0.0 0.0
39 235980476.02984 235980477.65036 235980479.27087998 0 0.0 122.7184630308513 0.0 0.0 0.0
40 235980479.27087998 235980480.89139998 235980482.51191998 0 0.0 122.7184630308513 0.0 0.0 0.0
41 235980482.51192 235980484.13244 235980485.75296 0 0.0 122.7184630308513 0.0 0.0 0.0
42 235980485.75296 235980487.37348 235980488.994 0 0.0 122.7184630308513 0.0 0.0 0.0
43 235980488.994 235980490.61451998 235980492.23503998 0 0.0 122.7184630308513 0.0 0.0 0.0
44 235980492.23503998 235980493.85555997 235980495.47607997 0 0.0 122.7184630308513 0.0 0.0 0.0
45 235980495.47608 235980497.0966 235980498.71712 0 0.0 122.7184630308513 0.0 0.0 0.0
46 235980498.71712 235980500.33764 235980501.95815998 0 0.0 122.7184630308513 0.0 0.0 0.0
47 235980501.95815998 235980503.57867998 235980505.19919997 0 0.0 122.7184630308513 0.0 0.0 0.0
48 235980505.1992 235980506.81972 235980508.44024 0 0.0 122.7184630308513 0.0 0.0 0.0
49 235980508.44024 235980510.06076 235980511.68128 0 0.0 122.7184630308513 0.0 0.0 0.0
50 235980511.68128 235980513.30179998 235980514.92231998 0 0.0 122.7184630308513 0.0 0.0 0.0
51 235980514.92231998 235980516.54283997 235980518.16335997 0 0.0 122.7184630308513 0.0 0.0 0.0
52 235980518.16336 235980519.78388 235980521.4044 0 0.0 122.7184630308513 0.0 0.0 0.0
53 235980521.4044 235980523.02492 235980524.64543998 0 0.0 122.7184630308513 0.0 0.0 0.0
54 235980524.64543998 235980526.26595998 235980527.88647997 0 0.0 122.7184630308513 0.0 0.0 0.0
55 235980527.88648 235980529.507 235980531.12752 0 0.0 122.7184630308513 0.0 0.0 0.0
56 235980531.12752 235980532.74804 235980534.36856 0 0.0 122.7184630308513 0.0 0.0 0.0
57 235980534.36856 235980535.98907998 235980537.60959998 0 0.0 122.7184630308513 0.0 0.0 0.0
58 235980537.60959998 235980539.23011997 235980540.85063997 0 0.0 122.7184630308513 0.0 0.0 0.0
59 235980540.85064 235980542.47116 235980544.09168 0 0.0 122.7184630308513 0.0 0.0 0.0
60 235980544.09168 235980545.7122 235980547.33271998 0 0.0 122.7184630308513 0.0 0.0 0.0
61 235980547.33271998 235980548.95323998 235980550.57375997 0 0.0 122.7184630308513 0.0 0.0 0.0
62 235980550.57376 235980552.19428 235980553.8148 0 0.0 122.7184630308513 0.0 0.0 0.0
63 235980553.8148 235980555.43532 235980557.05584 0 0.0 122.7184630308513 0.0 0.0 0.0
64 235980557.05584 235980558.67635998 235980560.29687998 0 0.0 122.7184630308513 0.0 0.0 0.0
65 235980560.29688 235980561.9174 235980563.53792 0 0.0 122.7184630308513 0.0 0.0 0.0
66 235980563.53792 235980565.15844 235980566.77896 0 0.0 122.7184630308513 0.0 0.0 0.0
67 235980566.77896 235980568.39948 235980570.01999998 0 0.0 122.7184630308513 0.0 0.0 0.0
68 235980570.01999998 235980571.64051998 235980573.26103997 0 0.0 122.7184630308513 0.0 0.0 0.0
