TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 106852100.44601 106852102.06652999 106852103.68705 0 0.0 35.784703819796235 0.0 0.0 0.0
2 106852103.68705 106852105.30757001 106852106.92809 0 0.0 35.784703819796235 0.0 0.0 0.0
3 106852106.92808999 106852108.54861 106852110.16913 0 0.0 35.784703819796235 0.0 0.0 0.0
4 106852110.16913 106852111.78965 106852113.41017 0 0.0 35.784703819796235 0.0 0.0 0.0
5 106852113.41016999 106852115.03068998 106852116.65121 0 0.0 35.784703819796235 0.0 0.0 0.0
6 106852116.65121 106852118.27173 106852119.89225 0 0.0 35.784703819796235 0.0 0.0 0.0
7 106852119.89224999 106852121.51277 106852123.13329 0 0.0 35.784703819796235 0.0 0.0 0.0
8 106852123.13329 106852124.75380999 106852126.37433 0 0.0 35.784703819796235 0.0 0.0 0.0
9 106852126.37433 106852127.99485001 106852129.61537 0 0.0 35.784703819796235 0.0 0.0 0.0
10 106852129.61536999 106852131.23589 106852132.85641 0 0.0 35.784703819796235 0.0 0.0 0.0
11 106852132.85641 106852134.47692999 106852136.09745 0 0.0 35.784703819796235 0.0 0.0 0.0
12 106852136.09744999 106852137.71796998 106852139.33849 0 0.0 35.784703819796235 0.0 0.0 0.0
13 106852139.33849 106852140.95901 106852142.57953 0 0.0 35.784703819796235 0.0 0.0 0.0
14 106852142.57953 106852144.20005 106852145.82057 0 0.0 35.784703819796235 0.0 0.0 0.0
15 106852145.82056999 106852147.44108999 106852149.06161 0 0.0 35.784703819796235 0.0 0.0 0.0
16 106852149.06161 106852150.68213001 106852152.30265 0 0.0 35.784703819796235 0.0 0.0 0.0
17 106852152.30264999 106852153.92317 106852155.54369 0 0.0 35.784703819796235 0.0 0.0 0.0
18 106852155.54369 106852157.16420999 106852158.78473 0 0.0 35.784703819796235 0.0 0.0 0.0
19 106852158.78472999 106852160.40524998 106852162.02577 0 0.0 35.784703819796235 0.0 0.0 0.0
20 106852162.02577 106852163.64629 106852165.26681 0 0.0 35.784703819796235 0.0 0.0 0.0
21 106852165.26681 106852166.88733 106852168.50785 0 0.0 35.784703819796235 0.0 0.0 0.0
22 106852168.50784999 106852170.12836999 106852171.74889 0 0.0 35.784703819796235 0.0 0.0 0.0
23 106852171.74889 106852173.36941001 106852174.98993 0 0.0 35.784703819796235 0.0 0.0 0.0
24 106852174.98992999 106852176.61045 106852178.23097 0 0.0 35.784703819796235 0.0 0.0 0.0
25 106852178.23097 106852179.85148999 106852181.47201 0 0.0 35.784703819796235 0.0 0.0 0.0
26 106852181.47200999 106852183.09252998 106852184.71305 0 0.0 35.784703819796235 0.0 0.0 0.0
27 106852184.71305 106852186.33357 106852187.95409 0 0.0 35.784703819796235 0.0 0.0 0.0
28 106852187.95409 106852189.57461 106852191.19513 0 0.0 35.784703819796235 0.0 0.0 0.0
29 106852191.19512999 106852192.81564999 106852194.43617 0 0.0 35.784703819796235 0.0 0.0 0.0
30 106852194.43617 106852196.05669 106852197.67721 0 0.0 35.784703819796235 0.0 0.0 0.0
31 106852197.67720999 106852199.29773 106852200.91825 0 0.0 35.784703819796235 0.0 0.0 0.0
