TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 493904746.55342 493904748.17394 493904749.79446 0 0.0 50.26548245743669 0.0 0.0 0.0
2 493904749.79446 493904751.41498 493904753.0355 0 0.0 50.26548245743669 0.0 0.0 0.0
3 493904753.0355 493904754.65602 493904756.27654 0 0.0 50.26548245743669 0.0 0.0 0.0
4 493904756.27654 493904757.89706 493904759.51758 0 0.0 50.26548245743669 0.0 0.0 0.0
5 493904759.51758003 493904761.1381 493904762.75862 0 0.0 50.26548245743669 0.0 0.0 0.0
6 493904762.75862 493904764.37914 493904765.99966 0 0.0 50.26548245743669 0.0 0.0 0.0
7 493904765.99966 493904767.62018 493904769.2407 0 0.0 50.26548245743669 0.0 0.0 0.0
8 493904769.2407 493904770.86122 493904772.48174 0 0.0 50.26548245743669 0.0 0.0 0.0
9 493904772.48174 493904774.10226 493904775.72278 0 0.0 50.26548245743669 0.0 0.0 0.0
10 493904775.72278 493904777.3433 493904778.96382 0 0.0 50.26548245743669 0.0 0.0 0.0
11 493904778.96382 493904780.58434 493904782.20486 0 0.0 50.26548245743669 0.0 0.0 0.0
12 493904782.20486003 493904783.82538 493904785.4459 0 0.0 50.26548245743669 0.0 0.0 0.0
13 493904785.4459 493904787.06642 493904788.68694 0 0.0 50.26548245743669 0.0 0.0 0.0
14 493904788.68694 493904790.30746 493904791.92798 0 0.0 50.26548245743669 0.0 0.0 0.0
15 493904791.92798 493904793.5485 493904795.16902 0 0.0 50.26548245743669 0.0 0.0 0.0
16 493904795.16902 493904796.78954 493904798.41006 0 0.0 50.26548245743669 0.0 0.0 0.0
17 493904798.41006 493904800.03058 493904801.6511 0 0.0 50.26548245743669 0.0 0.0 0.0
18 493904801.6511 493904803.27162 493904804.89214 0 0.0 50.26548245743669 0.0 0.0 0.0
19 493904804.89214003 493904806.51266 493904808.13318 0 0.0 50.26548245743669 0.0 0.0 0.0
20 493904808.13318 493904809.7537 493904811.37422 0 0.0 50.26548245743669 0.0 0.0 0.0
21 493904811.37422 493904812.99474 493904814.61526 0 0.0 50.26548245743669 0.0 0.0 0.0
22 493904814.61526 493904816.23578 493904817.8563 0 0.0 50.26548245743669 0.0 0.0 0.0
23 493904817.8563 493904819.47682 493904821.09734 0 0.0 50.26548245743669 0.0 0.0 0.0
24 493904821.09734 493904822.71786 493904824.33838 0 0.0 50.26548245743669 0.0 0.0 0.0
25 493904824.33838 493904825.9589 493904827.57942 0 0.0 50.26548245743669 0.0 0.0 0.0
26 493904827.57942003 493904829.19994 493904830.82046 0 0.0 50.26548245743669 0.0 0.0 0.0
27 493904830.82046 493904832.44098 493904834.0615 0 0.0 50.26548245743669 0.0 0.0 0.0
28 493904834.0615 493904835.68202 493904837.30254 0 0.0 50.26548245743669 0.0 0.0 0.0
29 493904837.30254 493904838.92306 493904840.54358 0 0.0 50.26548245743669 0.0 0.0 0.0
30 493904840.54358 493904842.1641 493904843.78462 0 0.0 50.26548245743669 0.0 0.0 0.0
31 493904843.78462 493904845.40514 493904847.02566 0 0.0 50.26548245743669 0.0 0.0 0.0
32 493904847.02566 493904848.64618 493904850.26669997 0 0.0 50.26548245743669 0.0 0.0 0.0
33 493904850.2667 493904851.88722 493904853.50774 0 0.0 50.26548245743669 0.0 0.0 0.0
34 493904853.50774 493904855.12826 493904856.74878 0 0.0 50.26548245743669 0.0 0.0 0.0
35 493904856.74878 493904858.3693 493904859.98982 0 0.0 50.26548245743669 0.0 0.0 0.0
36 493904859.98982 493904861.61034 493904863.23086 0 0.0 50.26548245743669 0.0 0.0 0.0
37 493904863.23086 493904864.85138 493904866.4719 0 0.0 50.26548245743669 0.0 0.0 0.0
38 493904866.4719 493904868.09242 493904869.71294 0 0.0 50.26548245743669 0.0 0.0 0.0
39 493904869.71294 493904871.33346 493904872.95397997 0 0.0 50.26548245743669 0.0 0.0 0.0
40 493904872.95398 493904874.5745 493904876.19502 0 0.0 50.26548245743669 0.0 0.0 0.0
41 493904876.19502 493904877.81554 493904879.43606 0 0.0 50.26548245743669 0.0 0.0 0.0
42 493904879.43606 493904881.05658 493904882.6771 0 0.0 50.26548245743669 0.0 0.0 0.0
43 493904882.6771 493904884.29762 493904885.91814 0 0.0 50.26548245743669 0.0 0.0 0.0
44 493904885.91814 493904887.53866 493904889.15918 0 0.0 50.26548245743669 0.0 0.0 0.0
45 493904889.15918 493904890.7797 493904892.40022 0 0.0 50.26548245743669 0.0 0.0 0.0
46 493904892.40022004 493904894.02074003 493904895.64126 0 0.0 50.26548245743669 0.0 0.0 0.0
47 493904895.64126 493904897.26178 493904898.8823 0 0.0 50.26548245743669 0.0 0.0 0.0
48 493904898.8823 493904900.50282 493904902.12334 0 0.0 50.26548245743669 0.0 0.0 0.0
49 493904902.12334 493904903.74386 493904905.36438 0 0.0 50.26548245743669 0.0 0.0 0.0
50 493904905.36438 493904906.9849 493904908.60542 0 0.0 50.26548245743669 0.0 0.0 0.0
51 493904908.60542 493904910.22594 493904911.84646 0 0.0 50.26548245743669 0.0 0.0 0.0
52 493904911.84646 493904913.46698 493904915.0875 0 0.0 50.26548245743669 0.0 0.0 0.0
53 493904915.08750004 493904916.70802003 493904918.32854 0 0.0 50.26548245743669 0.0 0.0 0.0
54 493904918.32854 493904919.94906 493904921.56958 0 0.0 50.26548245743669 0.0 0.0 0.0
55 493904921.56958 493904923.1901 493904924.81062 0 0.0 50.26548245743669 0.0 0.0 0.0
56 493904924.81062 493904926.43114 493904928.05166 0 0.0 50.26548245743669 0.0 0.0 0.0
57 493904928.05166 493904929.67218 493904931.2927 0 0.0 50.26548245743669 0.0 0.0 0.0
58 493904931.2927 493904932.91322 493904934.53374 0 0.0 50.26548245743669 0.0 0.0 0.0
59 493904934.53374 493904936.15426 493904937.77478 0 0.0 50.26548245743669 0.0 0.0 0.0
60 493904937.77478004 493904939.39530003 493904941.01582 0 0.0 50.26548245743669 0.0 0.0 0.0
61 493904941.01582 493904942.63634 493904944.25686 0 0.0 50.26548245743669 0.0 0.0 0.0
62 493904944.25686 493904945.87738 493904947.4979 0 0.0 50.26548245743669 0.0 0.0 0.0
63 493904947.4979 493904949.11842 493904950.73894 0 0.0 50.26548245743669 0.0 0.0 0.0
64 493904950.73894 493904952.35946 493904953.97998 0 0.0 50.26548245743669 0.0 0.0 0.0
65 493904953.97998 493904955.6005 493904957.22102 0 0.0 50.26548245743669 0.0 0.0 0.0
66 493904957.22102 493904958.84154 493904960.46206 0 0.0 50.26548245743669 0.0 0.0 0.0
67 493904960.46206003 493904962.08258003 493904963.7031 0 0.0 50.26548245743669 0.0 0.0 0.0
68 493904963.7031 493904965.32362 493904966.94414 0 0.0 50.26548245743669 0.0 0.0 0.0
69 493904966.94414 493904968.56466 493904970.18518 0 0.0 50.26548245743669 0.0 0.0 0.0
70 493904970.18518 493904971.8057 493904973.42622 0 0.0 50.26548245743669 0.0 0.0 0.0
71 493904973.42622 493904975.04674 493904976.66726 0 0.0 50.26548245743669 0.0 0.0 0.0
72 493904976.66726 493904978.28778 493904979.9083 0 0.0 50.26548245743669 0.0 0.0 0.0
73 493904979.9083 493904981.52882 493904983.14934 0 0.0 50.26548245743669 0.0 0.0 0.0
74 493904983.14934003 493904984.76986 493904986.39038 0 0.0 50.26548245743669 0.0 0.0 0.0
75 493904986.39038 493904988.0109 493904989.63142 0 0.0 50.26548245743669 0.0 0.0 0.0
76 493904989.63142 493904991.25194 493904992.87246 0 0.0 50.26548245743669 0.0 0.0 0.0
77 493904992.87246 493904994.49298 493904996.1135 0 0.0 50.26548245743669 0.0 0.0 0.0
78 493904996.1135 493904997.73402 493904999.35454 0 0.0 50.26548245743669 0.0 0.0 0.0
79 493904999.35454 493905000.97506 493905002.59558 0 0.0 50.26548245743669 0.0 0.0 0.0
80 493905002.59558 493905004.2161 493905005.83662 0 0.0 50.26548245743669 0.0 0.0 0.0
81 493905005.83662003 493905007.45714 493905009.07766 0 0.0 50.26548245743669 0.0 0.0 0.0
82 493905009.07766 493905010.69818 493905012.3187 0 0.0 50.26548245743669 0.0 0.0 0.0
83 493905012.3187 493905013.93922 493905015.55974 0 0.0 50.26548245743669 0.0 0.0 0.0
84 493905015.55974 493905017.18026 493905018.80078 0 0.0 50.26548245743669 0.0 0.0 0.0
85 493905018.80078 493905020.4213 493905022.04182 0 0.0 50.26548245743669 0.0 0.0 0.0
86 493905022.04182 493905023.66234 493905025.28286 0 0.0 50.26548245743669 0.0 0.0 0.0
87 493905025.28286 493905026.90338 493905028.5239 0 0.0 50.26548245743669 0.0 0.0 0.0
88 493905028.52390003 493905030.14442 493905031.76494 0 0.0 50.26548245743669 0.0 0.0 0.0
89 493905031.76494 493905033.38546 493905035.00598 0 0.0 50.26548245743669 0.0 0.0 0.0
90 493905035.00598 493905036.6265 493905038.24702 0 0.0 50.26548245743669 0.0 0.0 0.0
91 493905038.24702 493905039.86754 493905041.48806 0 0.0 50.26548245743669 0.0 0.0 0.0
92 493905041.48806 493905043.10858 493905044.7291 0 0.0 50.26548245743669 0.0 0.0 0.0
93 493905044.7291 493905046.34962 493905047.97014 0 0.0 50.26548245743669 0.0 0.0 0.0
